player,start_rank,start_points,difference,finish_rank,finish_points
Alex Higgins,9,0,0,9,0
Terry Griffiths,8,0,0,8,0
Jimmy White,7,0,0,7,0
Jackie Rea,61,0,-15,76,0
Clive Everton,60,0,-13,73,0
Eddie Charlton,6,0,-6,12,0
Billy Kelly,59,0,-12,71,0
Paddy Morgan,58,0,-17,75,0
Steve Duggan,57,0,-13,70,0
Frank Jonik,56,0,-16,72,0
Tommy Murphy,55,0,-3,58,0
Eddie McLaughlin,54,0,-9,63,0
John Bear - Not active,53,0,53,0,0
John Dunning,52,0,-12,64,0
Ian Black,51,0,-6,57,0
Ray Edmonds,50,0,-1,51,0
Ray Reardon,5,0,-1,6,0
Paul Mifsud,49,0,49,0,0
Warren King,48,0,13,35,0
Roy Andrewartha,47,0,47,0,0
Fred Davis,46,0,-10,56,0
Marcel Gauvreau,45,0,6,39,0
Jack Fitzmaurice,44,0,-30,74,0
Les Dodd,43,0,-10,53,0
Mick Fisher,42,0,-12,54,0
Jim Wych,41,0,-11,52,0
Jim Meadowcroft,40,0,-8,48,0
Kirk Stevens,4,0,-1,5,0
Colin Roscoe,39,0,-6,45,0
Patsy Fagan,38,0,5,33,0
George Scott,37,0,-4,41,0
Jim Donnelly,36,0,-10,46,0
Mario Morra,35,0,-8,43,0
Mike Watterson,34,0,-8,42,0
Eddie Sinclair,33,0,-5,38,0
Graham Miles,32,0,-4,36,0
Rex Williams,31,0,4,27,0
Neal Foulds,30,0,7,23,0
Cliff Thorburn,3,0,1,2,0
Murdo Macleod,29,0,3,26,0
John Campbell,28,0,-3,31,0
Eugene Hughes,27,0,6,21,0
Dave Martin,26,0,-3,29,0
Mike Hallett,25,0,-3,28,0
Perrie Mans,24,0,-6,30,0
Cliff Wilson,23,0,1,22,0
Dean Reynolds,22,0,-2,24,0
Mark Wildman,21,0,-4,25,0
John Parrott,20,0,2,18,0
Tony Knowles,2,0,-1,3,0
Joe Johnson,19,0,3,16,0
John Virgo,18,0,-1,19,0
Silvino Francisco,17,0,4,13,0
David Taylor,16,0,2,14,0
Doug Mountjoy,15,0,0,15,0
Bill Werbeniuk,14,0,-3,17,0
John Spencer,13,0,-7,20,0
Willie Thorne,12,0,1,11,0
Dennis Taylor,11,0,7,4,0
Tony Meo,10,0,0,10,0
Steve Davis,1,0,0,1,0
Wayne Sanderson,0,0,,0,0
Mike Hines,0,0,,83,0
George Ganim,0,0,,0,0
John Hargreaves,0,0,,102,0
Marcus Owen,0,0,,0,0
Maurice Parkin,0,0,,91,0
Mike Darrington,0,0,,97,0
Tony Jones,0,0,,50,0
Joe Cagianello,0,0,,87,0
Paul Watchorn,0,0,,93,0
John Pulman - Not active,0,0,,0,0
Gerry Watson,0,0,,0,0
Derek Mienie,0,0,,95,0
Leon Heywood,0,0,,98,0
Paul Thornley,0,0,,0,0
James Giannaros,0,0,,101,0
Gino Rigitano,0,0,,77,0
John Phillips - Not active,0,0,,0,0
Chris Ross - Not active,0,0,,0,0
Bert Demarco,0,0,,92,0
David Greaves,0,0,,96,0
Paul Medati,0,0,,60,0
Matt Gibson,0,0,,81,0
Pascal Burke,0,0,,86,0
Bill Oliver,0,0,,85,0
Bernie Mikkelsen,0,0,,82,0
Paddy Browne,0,0,,61,0
Jimmy van Rensberg,0,0,,80,0
Doug French,0,0,,0,0
Geoff Foulds,0,0,,78,0
Dennis Hughes,0,0,,88,0
Pat Houlihan,0,0,,0,0
Graham Cripsey,0,0,,89,0
Bernard Bennett,0,0,,94,0
Vic Harris,0,0,,65,0
Dessie Sheehan,0,0,,99,0
Ian Anderson,0,0,,84,0
Bob Harris,0,0,,66,0
Ian Williamson,0,0,,47,0
Tony Kearney,0,0,,90,0
Dave Chalmers,0,0,,79,0
Jack McLaughlin,0,0,,69,0
Tony Chappel,0,0,,68,0
John Rea,0,0,,67,0
Robby Foldvari,0,0,,62,0
Peter Francisco,0,0,,59,0
Danny Fowler,0,0,,55,0
Wayne Jones,0,0,,49,0
Bob Chaperon,0,0,,44,0
Malcolm Bradley,0,0,,40,0
Steve Longworth,0,0,,37,0
Steve Newbury,0,0,,34,0
Dene O'Kane,0,0,,32,0
Roger Bales,0,0,,100,0
Lou Condo,0,0,,0,0
