player,start_rank,start_points,difference,finish_rank,finish_points
John Higgins,1,"47,422",0,1,"50,590"
Stephen Hendry,2,"47,247",0,2,"41,235"
Mark Williams,5,"32,755",2,3,"36,780"
Ronnie O'Sullivan,3,"39,407",-1,4,"33,545"
John Parrott,6,"31,757",1,5,"30,000"
Stephen Lee,9,"24,264",3,6,"28,505"
Ken Doherty,4,"36,167",-3,7,"28,090"
Alan McManus,8,"24,394",0,8,"26,515"
Matthew Stevens,26,"16,935",17,9,"23,380"
Anthony Hamilton,11,"22,524",1,10,"23,015"
Fergal O'Brien,20,"18,152",9,11,"22,762"
Paul Hunter,24,"17,155",12,12,"22,137"
Peter Ebdon,7,"25,326",-6,13,"21,810"
Mark King,16,"21,470",2,14,"20,420"
Steve Davis,14,"22,252",-1,15,"20,045"
Jimmy White,18,"18,995",2,16,"19,822"
Dave Harold,19,"18,410",2,17,"19,447"
Chris Small,25,"17,026",7,18,"19,135"
Dominic Dale,23,"17,622",4,19,"18,794"
Tony Drago,10,"23,809",-10,20,"18,335"
Nigel Bond,13,"22,256",-8,21,"18,210"
James Wattana,15,"21,542",-7,22,"17,365"
Darren Morgan,22,"17,804",-1,23,"16,812"
Billy Snaddon,32,"15,042",8,24,"16,665"
Graeme Dott,30,"15,589",5,25,"16,615"
Quinten Hann,45,"12,182",19,26,"16,362"
Jamie Burnett,31,"15,542",4,27,"15,637"
Joe Swail,36,"14,595",8,28,"15,577"
Gary Wilkinson,17,"19,084",-12,29,"15,400"
Terry Murphy,29,"16,047",-1,30,"15,254"
Brian Morgan,27,"16,227",-4,31,"15,085"
Andy Hicks,21,"17,808",-11,32,"14,397"
Bradley Jones,44,"12,345",11,33,"13,975"
Joe Perry,74,"10,184",40,34,"13,930"
Marco Fu,377,0,342,35,"13,654"
Alain Robidoux,12,"22,387",-24,36,"13,570"
Martin Clark,28,"16,134",-9,37,"13,515"
Paul Davies,41,"12,814",3,38,"13,407"
Ian McCulloch,60,"11,115",21,39,"13,132"
Neal Foulds,34,"14,915",-6,40,"13,125"
Gerard Greene,59,"11,332",18,41,"13,119"
Peter Lines,53,"11,642",11,42,"12,942"
Euan Henderson,38,"14,084",-5,43,"12,697"
Steve James,37,"14,209",-7,44,"12,602"
Drew Henry,43,"12,647",-2,45,"12,575"
Lee Walker,50,"11,761",4,46,"12,142"
Matthew Couch,78,"9,775",31,47,"12,060"
Marcus Campbell,73,"10,195",25,48,"12,005"
Gary Ponting,75,"10,180",26,49,"11,970"
Jason Ferguson,35,"14,802",-15,50,"11,892"
Rod Lawler,40,"13,112",-11,51,"11,875"
Dave Finbow,68,"10,692",16,52,"11,542"
Jonathan Birch,42,"12,742",-11,53,"11,447"
Nick Walker,71,"10,540",17,54,"11,320"
Dean Reynolds,54,"11,534",-1,55,"11,302"
Paul Wykes,62,"11,077",6,56,"11,277"
Mick Price,33,"14,976",-24,57,"11,090"
David Roe,48,"11,875",-10,58,"11,060"
Joe Johnson,55,"11,515",-4,59,"11,020"
David Gray,61,"11,089",1,60,"10,957"
Alfie Burden,77,"9,841",16,61,"10,812"
John Read,70,"10,567",8,62,"10,497"
Jimmy Michie,81,"9,464",18,63,"10,482"
Jason Prince,39,"13,992",-25,64,"10,402"
Tony Jones,63,"11,035",-2,65,"10,345"
Nick Pearce,64,"10,930",-2,66,"10,295"
Michael Judge,58,"11,477",-9,67,"10,257"
Stuart Pettman,76,"9,890",8,68,"10,210"
Shokat Ali,49,"11,817",-20,69,"10,172"
Chris Scanlon,67,"10,752",-3,70,"10,057"
Karl Broughton,46,"12,027",-25,71,"9,907"
John Lardner,94,"7,389",22,72,"9,497"
Leigh Griffin,93,"7,508",20,73,"9,430"
Michael Holt,193,0,119,74,"9,377"
Willie Thorne,51,"11,715",-24,75,"9,342"
Tony Chappel,47,"11,952",-29,76,"9,342"
Dene O'Kane,57,"11,500",-20,77,"9,292"
Mark Davis,56,"11,511",-22,78,"9,252"
Mark Gray,92,"7,710",13,79,"9,242"
Anthony Davies,85,"8,787",5,80,"9,225"
Leo Fernandez,155,0,74,81,"9,099"
Martin Dziewialtowski,83,"9,022",1,82,"9,057"
Wayne Brown,80,"9,595",-3,83,"9,010"
Patrick Wallace,150,0,66,84,"9,002"
Stephen O'Connor,86,"8,612",1,85,"8,867"
Steve Judd,79,"9,650",-7,86,"8,690"
Sean Storey,72,"10,487",-15,87,"8,642"
Dennis Taylor,52,"11,648",-36,88,"8,637"
Craig MacGillivray,96,"6,434",7,89,"8,607"
Darren Clarke,87,"8,492",-3,90,"8,462"
Karl Burrows,69,"10,640",-22,91,"8,435"
Stefan Mazrocis,65,"10,910",-27,92,"8,360"
Stuart Bingham,164,0,71,93,"8,237"
Tony Knowles,125,0,31,94,"8,157"
Phaitoon Phonbun,0,0,,95,"8,097"
Troy Shaw,88,"8,252",-8,96,"8,027"
Mark Bennett,66,"10,834",-31,97,"8,027"
Mario Geudens,200,0,102,98,"7,942"
Lee Richardson,89,"8,047",-10,99,"7,912"
Robert Milkins,99,"5,600",-1,100,"7,902"
Robin Hull,104,0,3,101,"7,882"
Peter McCullagh,95,"6,936",-7,102,"7,712"
Ian Brumby,90,"7,957",-13,103,"7,647"
Wayne Jones,82,"9,374",-22,104,"7,647"
Kristjan Helgason,437,0,332,105,"7,637"
Adrian Gunnell,197,0,91,106,"7,562"
Barry Mapstone,185,0,78,107,"7,402"
Alan Burnett,103,0,-5,108,"7,377"
Karl Payne,91,"7,719",-18,109,"7,362"
Paul Sweeny,122,0,12,110,"7,347"
Craig Harrison,154,0,43,111,"7,222"
Mark Fenton,129,0,17,112,"7,162"
Barry Pinches,106,0,-7,113,"7,137"
Graham Horne,97,"5,837",-17,114,"7,092"
Tom Finstad,0,0,,115,"7,082"
Darryn Walker,115,0,-1,116,"7,072"
Richard Somauroo,235,0,118,117,"7,042"
John Whitty,213,0,95,118,"7,027"
Nigel Gilbert,123,0,4,119,"6,972"
Nick Terry,108,0,-12,120,"6,967"
Chris Shade,116,0,-5,121,"6,937"
Colm Gilcreest,226,0,104,122,"6,932"
Jason Weston,101,0,-22,123,"6,897"
Joe Grech,167,0,43,124,"6,847"
David McDonnell,165,0,40,125,"6,842"
Paul McPhillips,102,0,-24,126,"6,817"
Patrick Delsemme,210,0,83,127,"6,777"
Simon Bedford,119,0,-9,128,"6,752"
Ian Sargeant,114,0,-15,129,"6,742"
Mehmet Husnu,151,0,21,130,"6,742"
Joe Delaney,109,0,-22,131,"6,702"
Hugh Abernethy,152,0,20,132,"6,692"
