Tournament,Type,Winner,url,season,tourn_id,prize_fund
1969 Pot Black,Invitational,Ray Reardon,https://cuetracker.net/tournaments/pot-black/1969/917,1968,917,"GBP 1,000"
1970 Pot Black,Invitational,John Spencer,https://cuetracker.net/tournaments/pot-black/1970/915,1969,915,GBP 0
1971 Park Drive 600,Invitational,Ray Reardon,https://cuetracker.net/tournaments/park-drive-600/1971/2082,1970,2082,GBP 0
1971 Park Drive 2000 - Spring,League,John Spencer,https://cuetracker.net/tournaments/park-drive-2000-spring/1971/913,1970,913,"GBP 2,000"
1971 Pot Black,Invitational,John Spencer,https://cuetracker.net/tournaments/pot-black/1971/912,1970,912,GBP 0
1972 Park Drive 2000 - Spring,League,John Spencer,https://cuetracker.net/tournaments/park-drive-2000-spring/1972/908,1971,908,"GBP 2,000"
1972 Men of the Midlands,League,Alex Higgins,https://cuetracker.net/tournaments/men-of-the-midlands/1972/910,1971,910,GBP 825
1972 Pot Black,Invitational,NA,https://cuetracker.net/tournaments/pot-black/1972/907,1971,907,GBP 0
1971 Park Drive 2000 - Autumn,League,Ray Reardon,https://cuetracker.net/tournaments/park-drive-2000-autumn/1971/909,1971,909,"GBP 2,000"
1973 Park Drive 1000,Invitational,John Spencer,https://cuetracker.net/tournaments/park-drive-1000/1973/2081,1972,2081,GBP 782
1973 Men of the Midlands,League,Alex Higgins,https://cuetracker.net/tournaments/men-of-the-midlands/1973/905,1972,905,"GBP 1,500"
1973 Pot Black,Invitational,Eddie Charlton,https://cuetracker.net/tournaments/pot-black/1973/901,1972,901,"GBP 1,000"
1972 Park Drive 2000 - Autumn,League,John Spencer,https://cuetracker.net/tournaments/park-drive-2000-autumn/1972/904,1972,904,"GBP 2,000"
1974 World Championship,Ranking,Ray Reardon,https://cuetracker.net/tournaments/world-championship/1974/897,1973,897,"GBP 9,800"
1974 Pot Black,Invitational,Graham Miles,https://cuetracker.net/tournaments/pot-black/1974/898,1973,898,"GBP 1,000"
1973 Norwich Union Open,Invitational,John Spencer,https://cuetracker.net/tournaments/norwich-union-open/1973/903,1973,903,"GBP 3,500"
1975 World Championship,Ranking,Ray Reardon,https://cuetracker.net/tournaments/world-championship/1975/890,1974,890,"GBP 18,600"
1975 Masters,Invitational,John Spencer,https://cuetracker.net/tournaments/masters/1975/894,1974,894,"GBP 4,800"
1975 Pot Black,Invitational,NA,https://cuetracker.net/tournaments/pot-black/1975/893,1974,893,GBP 0
1974 Norwich Union Open,Invitational,John Spencer,https://cuetracker.net/tournaments/norwich-union-open/1974/902,1974,902,"GBP 4,750"
1976 World Championship,Ranking,Ray Reardon,https://cuetracker.net/tournaments/world-championship/1976/885,1975,885,"GBP 15,000"
1976 Masters,Invitational,Ray Reardon,https://cuetracker.net/tournaments/masters/1976/889,1975,889,"GBP 5,200"
1976 Pot Black,Invitational,John Spencer,https://cuetracker.net/tournaments/pot-black/1976/887,1975,887,GBP 0
1977 World Championship,Ranking,John Spencer,https://cuetracker.net/tournaments/world-championship/1977/878,1976,878,"GBP 16,875"
1977 Masters,Invitational,Doug Mountjoy,https://cuetracker.net/tournaments/masters/1977/881,1976,881,"GBP 5,000"
1977 Pot Black,Invitational,Perrie Mans,https://cuetracker.net/tournaments/pot-black/1977/880,1976,880,GBP 0
1978 Golden Masters,Invitational,Doug Mountjoy,https://cuetracker.net/tournaments/golden-masters/1978/858,1977,858,"GBP 2,000"
1978 Pot Black,Invitational,Doug Mountjoy,https://cuetracker.net/tournaments/pot-black/1978/872,1977,872,GBP 0
1978 World Championship,Ranking,Ray Reardon,https://cuetracker.net/tournaments/world-championship/1978/864,1977,864,"GBP 24,000"
1978 Irish Masters,Invitational,John Spencer,https://cuetracker.net/tournaments/irish-masters/1978/877,1977,877,"GBP 1,700"
1978 Masters,Invitational,Alex Higgins,https://cuetracker.net/tournaments/masters/1978/866,1977,866,"GBP 8,000"
1977 Dry Blackthorn Cup,Invitational,Patsy Fagan,https://cuetracker.net/tournaments/dry-blackthorn-cup/1977/870,1977,870,"GBP 4,000"
1979 Golden Masters,Invitational,Ray Reardon,https://cuetracker.net/tournaments/golden-masters/1979/860,1978,860,"GBP 1,250"
1979 World Championship,Ranking,Terry Griffiths,https://cuetracker.net/tournaments/world-championship/1979/849,1978,849,"GBP 35,500"
1979 Tolly Cobbold Classic,Invitational,Alex Higgins,https://cuetracker.net/tournaments/tolly-cobbold-classic/1979/861,1978,861,"GBP 1,000"
1979 Bombay International,Invitational,John Spencer,https://cuetracker.net/tournaments/bombay-international/1979/852,1978,852,"GBP 5,400"
1979 Irish Masters,Invitational,Doug Mountjoy,https://cuetracker.net/tournaments/irish-masters/1979/850,1978,850,"GBP 5,800"
1979 Masters,Invitational,Perrie Mans,https://cuetracker.net/tournaments/masters/1979/851,1978,851,"GBP 6,000"
